,app_id,app_name
0,292030,The Witcher 3: Wild Hunt
1,70,Half-Life
2,240,Counter-Strike: Source
3,420,Half-Life 2: Episode Two
4,620,Portal 2
5,2870,X Rebirth
6,4000,Garry's Mod
7,8930,Sid Meier's Civilization V
8,381210,Dead by Daylight
9,289070,Sid Meier's Civilization VI
10,264710,Subnautica
11,477160,Human: Fall Flat
12,620980,Beat Saber
13,541210,Cold Waters
14,242920,Banished
15,504230,Celeste
16,240720,Getting Over It with Bennett Foddy
17,253230,A Hat in Time
18,728880,Overcooked! 2
19,732810,Slipstream
20,242760,The Forest
21,688130,Pogostuck: Rage With Your Friends
22,621060,PC Building Simulator
23,282560,RollerCoaster Tycoon World
24,577800,NBA 2K18
25,1225330,NBA 2K21
26,258180,Deus Ex: The Fall
27,686600,Rapture Rejects
28,583950,Artifact
29,292730,Call of Duty: Infinite Warfare
30,1128000,Cube World
31,841370,NBA 2K19
32,247730,Nether
33,1056960,Wolfenstein: Youngblood
34,285190,"Warhammer 40,000: Dawn of War III"
35,236510,Takedown: Red Sabre
36,834910,ATLAS
37,1180380,Stay Out
38,792990,Identity
39,390340,Umbrella Corps
40,723390,Hunt Down The Freeman
41,1015500,WWE 2K20
42,334040,Down To One
43,332200,Axiom Verge
44,275390,Guacamelee! Super Turbo Championship Edition
45,250900,The Binding of Isaac: Rebirth
46,206440,To the Moon
47,200900,Cave Story+
48,297130,Titan Souls
49,250760,Shovel Knight: Treasure Trove
50,40800,Super Meat Boy
51,611760,Don't Escape: 4 Days to Survive
52,247240,Volgarr the Viking
53,428550,Momodora: Reverie Under the Moonlight
54,311690,Enter the Gungeon
55,385560,Shadow Complex Remastered
56,283640,Salt and Sanctuary
57,322110,20XX
58,367520,Hollow Knight
59,583470,The End Is Nigh
60,427520,Factorio
61,294100,RimWorld
62,581320,Insurgency: Sandstorm
63,646570,Slay the Spire
64,227300,Euro Truck Simulator 2
65,431960,Wallpaper Engine
66,640820,Pathfinder: Kingmaker
67,787860,Farming Simulator 19
68,690830,Foundation
69,899440,GOD EATER 3
70,233860,Kenshi
71,590380,Into the Breach
72,552500,Warhammer: Vermintide 2
73,1222700,A Way Out
74,397540,Borderlands 3
75,814380,Sekiro™: Shadows Die Twice
76,779340,Total War: THREE KINGDOMS
77,1190460,DEATH STRANDING
78,629760,MORDHAU
79,782330,DOOM Eternal
80,1017900,Age of Empires: Definitive Edition
81,1055540,A Short Hike
82,1089980,The Henry Stickmin Collection
83,1158310,Crusader Kings III
84,857980,Void Bastards
85,413150,Stardew Valley
86,359550,Tom Clancy's Rainbow Six Siege
87,945360,Among Us
88,875210,三国群英传8 Heroes of the Three Kingdoms 8
89,420290,Blackwake
90,424840,Little Nightmares
91,537800,Bomber Crew
92,454200,Neon Hardcorps
93,758190,Dragon Cliff 龙崖
94,678950,DRAGON BALL FighterZ
95,7510,X-Blades
96,252490,Rust
97,858210,Nova Drift
98,753650,Due Process
99,552520,Far Cry 5
100,648800,Raft
101,863550,HITMAN™ 2
102,812140,Assassin's Creed Odyssey
103,1145360,Hades
104,739630,Phasmophobia
105,1289310,Helltaker
106,48700,Mount & Blade: Warband
107,508440,Totally Accurate Battle Simulator
108,1118200,People Playground
109,698780,Doki Doki Literature Club
110,883710,Resident Evil 2
111,433340,Slime Rancher
112,219150,Hotline Miami
113,203160,Tomb Raider
114,644560,Mirror
115,238460,BattleBlock Theater
116,205100,Dishonored
117,213670,South Park™: The Stick of Truth™
118,391540,Undertale
119,219740,Don't Starve
120,252950,Rocket League
121,1113000,Persona 4 Golden
122,588650,Dead Cells
123,420530,OneShot
124,447530,VA-11 Hall-A: Cyberpunk Bartender Action
125,274190,Broforce
126,250320,The Wolf Among Us
127,207610,The Walking Dead
128,435150,Divinity: Original Sin 2
129,526870,Satisfactory
130,264200,One Finger Death Punch
131,960090,Bloons TD 6
132,457140,Oxygen Not Included
133,268910,Cuphead
134,1229490,ULTRAKILL
135,736260,Baba Is You
136,204360,Castle Crashers
137,1291340,Townscaper
138,239030,"Papers, Please"
139,1144400,Senren＊Banka
140,683320,GRIS
141,519860,DUSK
142,238320,Outlast
143,72850,The Elder Scrolls V: Skyrim
144,288160,The Room
145,212680,FTL: Faster Than Light
146,1240210,There Is No Game: Wrong Dimension
147,239140,Dying Light
148,270880,American Truck Simulator
149,55230,Saints Row: The Third
150,32470,STAR WARS™ Empire at War: Gold Pack
151,1057090,Ori and the Will of the Wisps
152,284160,BeamNG.drive
153,425580,The Room Two
154,221380,Age of Empires II (2013)
155,636480,Ravenfield
156,221640,Super Hexagon
157,8870,BioShock Infinite
158,531510,Just Shapes & Beats
159,379720,DOOM
160,362890,Black Mesa
161,337340,Finding Paradise
162,286160,Tabletop Simulator
163,341800,Keep Talking and Nobody Explodes
164,312530,Duck Game
165,412830,STEINS;GATE
166,413410,Danganronpa: Trigger Happy Havoc
167,214560,Mark of the Ninja
168,787480,Phoenix Wright: Ace Attorney Trilogy
169,35140,Batman: Arkham Asylum GOTY Edition
170,206190,Gunpoint
171,113200,The Binding of Isaac
172,413420,Danganronpa 2: Goodbye Despair
173,339800,HuniePop
174,1170880,Grimm's Hollow
175,271590,Grand Theft Auto V
176,578080,PLAYERUNKNOWN'S BATTLEGROUNDS
177,582010,Monster Hunter: World
178,306130,The Elder Scrolls Online
179,594570,Total War: WARHAMMER II
180,255710,Cities: Skylines
181,582160,Assassin's Creed Origins
182,281990,Stellaris
183,582660,Black Desert Online
184,379430,Kingdom Come: Deliverance
185,648350,Jurassic World Evolution
186,346110,ARK: Survival Evolved
187,275850,No Man's Sky
188,513710,SCUM
189,323190,Frostpunk
190,460930,Tom Clancy's Ghost Recon® Wildlands
191,637650,FINAL FANTASY XV WINDOWS EDITION
192,377160,Fallout 4
193,374320,DARK SOULS™ III
194,391220,Rise of the Tomb Raider
195,626690,Sword Art Online: Fatal Bullet
196,646910,The Crew 2
197,570940,DARK SOULS™: REMASTERED
198,356190,Middle-earth™: Shadow of War™
199,447040,Watch_Dogs 2
200,560130,Pillars of Eternity II: Deadfire
201,394360,Hearts of Iron IV
202,644930,They Are Billions
203,712100,Total War Saga: Thrones of Britannia
204,322330,Don't Starve Together
205,214950,Total War: ROME II - Emperor Edition
206,476600,Call of Duty: WWII
207,637090,BATTLETECH
208,105600,Terraria
209,218620,PAYDAY 2
210,268500,XCOM 2
211,548430,Deep Rock Galactic
212,47890,The Sims(TM) 3
213,594650,Hunt: Showdown
214,518790,theHunter: Call of the Wild™
215,440900,Conan Exiles
216,535930,Two Point Hospital
217,364360,Total War: WARHAMMER
218,489830,The Elder Scrolls V: Skyrim Special Edition
219,262060,Darkest Dungeon®
220,524220,NieR:Automata™
221,681660,Bless Online
222,872790,Football Manager 2019
223,613100,House Flipper
224,464920,Surviving Mars
225,544750,SOULCALIBUR VI
226,304390,For Honor
227,107410,Arma 3
228,589360,Ni no Kuni™ II: Revenant Kingdom
229,619080,SOS
230,772540,Battle Royale Trainer
231,666140,My Time At Portia
232,393520,Iconoclasts
233,503940,Railway Empire
234,585420,Trailmakers
235,405710,Staxel
236,489940,BATTALION 1944
237,748490,The Legend of Heroes: Trails of Cold Steel II
238,671440,Rise of Industry
239,613830,CHRONO TRIGGER
240,773951,Freeman: Guerrilla Warfare
241,753420,Dungreed
242,546050,Puyo Puyo™Tetris® 
243,637670,Secret of Mana
244,673950,Farm Together
245,632350,Cyberdimension Neptunia: 4 Goddesses Online
246,501080,Fishing: Barents Sea
247,730310,DYNASTY WARRIORS 9
248,677160,We Were Here Too
249,543900,METAL GEAR SURVIVE
250,671510,Desolate
251,382310,Eco
252,696170,SENRAN KAGURA Peach Beach Splash
253,593600,PixARK
254,619290,Out of the Park Baseball 19
255,631510,Devil May Cry HD Collection
256,677120,Heroes of Hammerwatch
257,417290,Ghost of a Tale
258,743450,Monster Prom
259,495560,Farm Manager 2018
260,788260,Rules Of Survival
261,825630,STEINS;GATE 0
262,620590,Ancestors Legacy
263,609320,FAR: Lone Sails
264,731490,Crash Bandicoot™ N. Sane Trilogy
265,400940,Budget Cuts
266,823130,Totally Accurate Battlegrounds
267,427290,Vampyr
268,629910,Clicker Heroes 2
269,638970,Yakuza 0
270,817130,WWE 2K19
271,673880,"Warhammer 40,000: Mechanicus"
272,704850,Thief Simulator
273,606280,Darksiders III
274,760060,Mutant Year Zero: Road to Eden
275,701160,Kingdom Two Crowns
276,517630,Just Cause 4
277,493340,Planet Coaster
278,485510,Nioh: Complete Edition
279,236850,Europa Universalis IV
280,595520,FINAL FANTASY XII THE ZODIAC AGE
281,225540,Just Cause 3
282,39210,FINAL FANTASY XIV Online
283,418370,Resident Evil 7 Biohazard
284,272270,Torment: Tides of Numenera
285,555220,Detention
286,291860,Pit People
287,429660,Tales of Berseria
288,352550,Urban Empire
289,445220,Avorion
290,428690,Youtubers Life
291,481510,Night in the Woods
292,571740,Golf It!
293,466560,Northgard
294,502280,BERSERK and the Band of the Hawk
295,526160,The Wild Eight
296,312660,Sniper Elite 4
297,527230,For The King
298,510510,WWE 2K17
299,524580,Fairy Fencer F Advent Dark Force
300,447820,Day of Infamy
301,502800,SENRAN KAGURA ESTIVAL VERSUS
302,512900,Streets of Rogue
303,357190,Ultimate Marvel vs. Capcom 3
304,598330,SimAirport
305,569860,Thimbleweed Park
306,551730,Toukiden 2
307,543460,Dead Rising 4
308,269950,X-Plane 11
309,355790,Styx: Shards of Darkness
310,530070,Train Sim World® 2020
311,574050,DRAGON QUEST HEROES™ II
312,572410,Steel Division: Normandy 44
313,421020,DiRT 4
314,546560,Half-Life: Alyx
